date,Year,Month,Weekday Name,drug_code,ddd_sales,drug_name,abc_class,ved_class,atc_desc,priority,day_of_week,is_weekend,quarter,week_of_year
02/01/2014,2014,1,Thursday,M01AB,0,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,1
03/01/2014,2014,1,Friday,M01AB,8,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,1
04/01/2014,2014,1,Saturday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,1
05/01/2014,2014,1,Sunday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,1
06/01/2014,2014,1,Monday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,2
07/01/2014,2014,1,Tuesday,M01AB,0,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,2
08/01/2014,2014,1,Wednesday,M01AB,5.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,2
09/01/2014,2014,1,Thursday,M01AB,7,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,2
10/01/2014,2014,1,Friday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,2
11/01/2014,2014,1,Saturday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,2
12/01/2014,2014,1,Sunday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,2
13/01/2014,2014,1,Monday,M01AB,7.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,3
14/01/2014,2014,1,Tuesday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,3
15/01/2014,2014,1,Wednesday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,3
16/01/2014,2014,1,Thursday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,3
17/01/2014,2014,1,Friday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,3
18/01/2014,2014,1,Saturday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,3
19/01/2014,2014,1,Sunday,M01AB,4.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,3
20/01/2014,2014,1,Monday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,4
21/01/2014,2014,1,Tuesday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,4
22/01/2014,2014,1,Wednesday,M01AB,7,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,4
23/01/2014,2014,1,Thursday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,4
24/01/2014,2014,1,Friday,M01AB,4.67,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,4
25/01/2014,2014,1,Saturday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,4
26/01/2014,2014,1,Sunday,M01AB,4.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,4
27/01/2014,2014,1,Monday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,5
28/01/2014,2014,1,Tuesday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,5
29/01/2014,2014,1,Wednesday,M01AB,5.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,5
30/01/2014,2014,1,Thursday,M01AB,3.02,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,5
31/01/2014,2014,1,Friday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,5
01/02/2014,2014,2,Saturday,M01AB,4.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,5
02/02/2014,2014,2,Sunday,M01AB,7,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,5
03/02/2014,2014,2,Monday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,6
04/02/2014,2014,2,Tuesday,M01AB,1.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,6
05/02/2014,2014,2,Wednesday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,6
06/02/2014,2014,2,Thursday,M01AB,3.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,6
07/02/2014,2014,2,Friday,M01AB,2.66,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,6
08/02/2014,2014,2,Saturday,M01AB,3.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,6
09/02/2014,2014,2,Sunday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,6
10/02/2014,2014,2,Monday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,7
11/02/2014,2014,2,Tuesday,M01AB,10,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,7
12/02/2014,2014,2,Wednesday,M01AB,9,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,7
